# STATION: BFXT2,,,,,
# STATION NAME: BALCONES FLYING X,,,,,
# LATITUDE:  30.629867,,,,,
# LONGITUDE: -98.082,,,,,
# ELEVATION [ft]: 1362,,,,,
# STATE: TX,,,,,
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,solar_radiation_set_1
,Date_Time,Celsius,%,Meters/second,W/m**2
BFXT2,01/01/2013 01:35 CST,12.22,100,1.79,0
BFXT2,01/01/2013 02:35 CST,11.67,100,2.68,0
BFXT2,01/01/2013 03:35 CST,9.44,100,5.81,0
BFXT2,01/01/2013 04:35 CST,8.33,100,4.92,0
BFXT2,01/01/2013 05:35 CST,7.78,100,5.37,0
BFXT2,01/01/2013 06:35 CST,7.78,100,6.26,0
BFXT2,01/01/2013 07:35 CST,6.67,100,5.81,0
BFXT2,01/01/2013 08:35 CST,6.11,97,5.37,16
BFXT2,01/01/2013 09:35 CST,6.67,95,5.37,76
BFXT2,01/01/2013 10:35 CST,6.67,91,4.92,112
BFXT2,01/01/2013 11:35 CST,6.11,91,6.7,201
BFXT2,01/01/2013 12:35 CST,5.56,90,6.26,173
BFXT2,01/01/2013 13:35 CST,6.67,83,5.81,228
BFXT2,01/01/2013 14:35 CST,7.78,76,4.02,262
BFXT2,01/01/2013 15:35 CST,8.33,68,3.58,217
BFXT2,01/01/2013 16:35 CST,8.89,65,3.58,161
BFXT2,01/01/2013 17:35 CST,7.22,70,3.58,49
BFXT2,01/01/2013 18:35 CST,5.56,76,3.13,1
BFXT2,01/01/2013 19:35 CST,5,75,3.13,0
BFXT2,01/01/2013 20:35 CST,3.89,79,3.13,0
BFXT2,01/01/2013 21:35 CST,3.33,80,4.47,0
BFXT2,01/01/2013 22:35 CST,2.78,78,5.37,0
BFXT2,01/01/2013 23:35 CST,2.22,78,4.92,0
BFXT2,01/02/2013 00:35 CST,1.11,82,4.47,0
BFXT2,01/02/2013 01:35 CST,0,84,5.81,0
BFXT2,01/02/2013 02:35 CST,-0.56,81,4.47,0
