# STATION: BFXT2,,,,,
# STATION NAME: BALCONES FLYING X,,,,,
# LATITUDE:  30.629867,,,,,
# LONGITUDE: -98.082,,,,,
# ELEVATION [ft]: 1362,,,,,
# STATE: TX,,,,,
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,solar_radiation_set_1
,Date_Time,Celsius,%,Meters/second,W/m**2
BFXT2,01/01/2014 00:35 CST,3.33,63,3.13,0
BFXT2,01/01/2014 01:35 CST,3.89,61,3.58,0
BFXT2,01/01/2014 02:35 CST,2.78,67,2.68,0
BFXT2,01/01/2014 03:35 CST,3.33,64,2.23,0
BFXT2,01/01/2014 04:35 CST,2.78,69,2.23,0
BFXT2,01/01/2014 05:35 CST,2.78,67,2.68,0
BFXT2,01/01/2014 06:35 CST,4.44,59,4.92,0
BFXT2,01/01/2014 07:35 CST,4.44,59,4.47,0
BFXT2,01/01/2014 08:35 CST,6.11,58,3.58,66
BFXT2,01/01/2014 09:35 CST,8.89,57,4.47,251
BFXT2,01/01/2014 10:35 CST,12.22,55,4.92,405
BFXT2,01/01/2014 11:35 CST,15.56,55,6.26,517
BFXT2,01/01/2014 12:35 CST,18.89,55,7.6,579
BFXT2,01/01/2014 13:35 CST,19.44,54,7.6,596
BFXT2,01/01/2014 14:35 CST,19.44,56,8.49,523
BFXT2,01/01/2014 15:35 CST,18.89,58,7.6,317
BFXT2,01/01/2014 16:35 CST,18.33,60,7.15,221
BFXT2,01/01/2014 17:35 CST,16.11,69,6.26,64
BFXT2,01/01/2014 18:35 CST,14.44,78,4.47,2
BFXT2,01/01/2014 19:35 CST,13.33,84,3.58,0
BFXT2,01/01/2014 20:35 CST,12.22,88,3.13,0
BFXT2,01/01/2014 21:35 CST,11.67,87,3.13,0
BFXT2,01/01/2014 22:35 CST,10.56,91,3.13,0
BFXT2,01/01/2014 23:35 CST,11.11,74,5.37,0
BFXT2,01/02/2014 00:35 CST,8.89,61,5.81,0
BFXT2,01/02/2014 01:35 CST,7.22,62,6.7,0
BFXT2,01/02/2014 02:35 CST,3.33,67,8.49,0
BFXT2,01/02/2014 03:35 CST,1.67,69,6.26,0
BFXT2,01/02/2014 04:35 CST,0.56,68,7.6,0
BFXT2,01/02/2014 05:35 CST,0,69,7.6,0
BFXT2,01/02/2014 06:35 CST,-1.11,72,6.7,0
BFXT2,01/02/2014 07:35 CST,-1.67,74,6.7,0
BFXT2,01/02/2014 08:35 CST,-0.56,68,6.7,55
BFXT2,01/02/2014 09:35 CST,1.11,59,7.6,253
BFXT2,01/02/2014 10:35 CST,2.78,53,6.26,406
BFXT2,01/02/2014 11:35 CST,4.44,48,5.81,524
BFXT2,01/02/2014 12:35 CST,6.11,41,7.15,610
BFXT2,01/02/2014 13:35 CST,7.78,37,6.7,610
BFXT2,01/02/2014 14:35 CST,8.33,34,5.37,543
BFXT2,01/02/2014 15:35 CST,8.89,33,6.26,417
BFXT2,01/02/2014 16:35 CST,8.89,34,3.58,229
BFXT2,01/02/2014 17:35 CST,7.22,39,2.68,88
BFXT2,01/02/2014 18:35 CST,4.44,45,3.13,2
BFXT2,01/02/2014 19:35 CST,3.89,47,2.68,0
BFXT2,01/02/2014 20:35 CST,2.78,50,2.23,0
BFXT2,01/02/2014 21:35 CST,2.78,48,1.79,0
BFXT2,01/02/2014 22:35 CST,2.78,47,2.68,0
BFXT2,01/02/2014 23:35 CST,2.22,49,2.68,0
BFXT2,01/03/2014 00:35 CST,1.11,52,2.68,0
BFXT2,01/03/2014 01:35 CST,0.56,53,1.34,0
